2025-04-21 10:26:25 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:27:54 | WARN      | 쿼리 수행 시간 초과
2025-04-21 10:27:55 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:27:55 | INFO      | 접속 종료됨: guest
2025-04-21 10:27:56 | WARN      | 쿼리 수행 시간 초과
2025-04-21 10:27:57 | INFO      | 쿼리 수행 시간 초과
2025-04-21 10:27:58 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:27:59 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:28:01 | ERROR     | 접속 종료됨: admin
2025-04-21 10:28:03 | DEBUG     | 디스크 용량 부족
2025-04-21 10:28:03 | WARN      | 쿼리 수행 시간 초과
2025-04-21 10:28:04 | INFO      | 디스크 용량 부족
2025-04-21 10:28:04 | INFO      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:28:06 | ERROR     | FATAL: DB 프로세스 종료됨
2025-04-21 10:28:07 | WARN      | 디스크 용량 부족
2025-04-21 10:28:09 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:28:11 | CRITICAL  | FATAL: DB 프로세스 종료됨
2025-04-21 10:28:12 | CRITICAL  | 트랜잭션 롤백됨
2025-04-21 10:28:13 | ERROR     | 외부 API 호출 실패
2025-04-21 10:28:14 | ERROR     | 디스크 용량 부족
2025-04-21 10:28:14 | ERROR     | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:28:15 | INFO      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:28:16 | WARN      | DB 연결 실패
2025-04-21 10:28:21 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:28:22 | ERROR     | DB 연결 실패
2025-04-21 10:28:22 | INFO      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:28:23 | CRITICAL  | FATAL: DB 프로세스 종료됨
2025-04-21 10:28:23 | INFO      | 쿼리 수행 시간 초과
2025-04-21 10:28:24 | WARN      | 쿼리 수행 시간 초과
2025-04-21 10:28:25 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:28:27 | DEBUG     | 외부 API 호출 실패
2025-04-21 10:28:28 | CRITICAL  | FATAL: DB 프로세스 종료됨
2025-04-21 10:28:28 | CRITICAL  | 트랜잭션 롤백됨
2025-04-21 10:28:29 | DEBUG     | 인증 실패: admin
2025-04-21 10:28:30 | WARN      | 외부 API 호출 실패
2025-04-21 10:28:31 | CRITICAL  | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:28:33 | DEBUG     | 쿼리 수행 시간 초과
2025-04-21 10:28:35 | WARN      | 디스크 용량 부족
2025-04-21 10:28:35 | DEBUG     | 외부 API 호출 실패
2025-04-21 10:28:36 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:28:38 | INFO      | 인증 실패: root
2025-04-21 10:28:40 | INFO      | 외부 API 호출 실패
2025-04-21 10:28:41 | WARN      | 접속 종료됨: admin
2025-04-21 10:28:42 | ERROR     | DB 연결 실패
2025-04-21 10:28:42 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:28:44 | DEBUG     | 접속 종료됨: admin
2025-04-21 10:28:46 | CRITICAL  | 접속 종료됨: admin
2025-04-21 10:28:47 | INFO      | 디스크 용량 부족
2025-04-21 10:28:48 | ERROR     | 트랜잭션 롤백됨
2025-04-21 10:28:50 | WARN      | 디스크 용량 부족
2025-04-21 10:28:52 | INFO      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:28:52 | DEBUG     | 인증 실패: system
2025-04-21 10:28:54 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:28:55 | CRITICAL  | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:28:56 | WARN      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:28:57 | DEBUG     | FATAL: DB 프로세스 종료됨
2025-04-21 10:28:59 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:28:59 | INFO      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:00 | INFO      | 트랜잭션 롤백됨
2025-04-21 10:29:01 | WARN      | 접속 종료됨: system
2025-04-21 10:29:02 | WARN      | 트랜잭션 롤백됨
2025-04-21 10:29:02 | CRITICAL  | 트랜잭션 롤백됨
2025-04-21 10:29:02 | ERROR     | 디스크 용량 부족
2025-04-21 10:29:03 | WARN      | 디스크 용량 부족
2025-04-21 10:29:04 | ERROR     | 외부 API 호출 실패
2025-04-21 10:29:06 | CRITICAL  | 외부 API 호출 실패
2025-04-21 10:29:07 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:29:08 | INFO      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:10 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:29:11 | INFO      | 외부 API 호출 실패
2025-04-21 10:29:12 | ERROR     | 외부 API 호출 실패
2025-04-21 10:29:14 | CRITICAL  | 접속 종료됨: root
2025-04-21 10:29:14 | WARN      | 디스크 용량 부족
2025-04-21 10:29:15 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:17 | ERROR     | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:29:18 | CRITICAL  | 인증 실패: guest
2025-04-21 10:29:20 | CRITICAL  | DB 연결 실패
2025-04-21 10:29:20 | DEBUG     | 쿼리 수행 시간 초과
2025-04-21 10:29:22 | DEBUG     | FATAL: DB 프로세스 종료됨
2025-04-21 10:29:24 | CRITICAL  | 트랜잭션 롤백됨
2025-04-21 10:29:25 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:29:25 | INFO      | FATAL: DB 프로세스 종료됨
2025-04-21 10:29:26 | INFO      | DB 연결 실패
2025-04-21 10:29:27 | DEBUG     | 인증 실패: root
2025-04-21 10:29:28 | ERROR     | 접속 종료됨: root
2025-04-21 10:29:28 | WARN      | 디스크 용량 부족
2025-04-21 10:29:30 | CRITICAL  | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:31 | ERROR     | FATAL: DB 프로세스 종료됨
2025-04-21 10:29:33 | INFO      | 디스크 용량 부족
2025-04-21 10:29:33 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:29:34 | ERROR     | 트랜잭션 롤백됨
2025-04-21 10:29:35 | ERROR     | 접속 종료됨: guest
2025-04-21 10:29:37 | ERROR     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:38 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:40 | INFO      | 트랜잭션 롤백됨
2025-04-21 10:29:41 | CRITICAL  | 인증 실패: admin
2025-04-21 10:29:42 | ERROR     | FATAL: DB 프로세스 종료됨
2025-04-21 10:29:43 | CRITICAL  | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:44 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:29:46 | CRITICAL  | 인증 실패: root
2025-04-21 10:29:47 | ERROR     | 디스크 용량 부족
2025-04-21 10:29:48 | WARN      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:29:48 | DEBUG     | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:29:50 | ERROR     | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:29:51 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:29:53 | ERROR     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:29:55 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:29:56 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:29:57 | INFO      | 트랜잭션 롤백됨
2025-04-21 10:29:58 | DEBUG     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:30:00 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:30:01 | INFO      | 쿼리 수행 시간 초과
2025-04-21 10:30:02 | CRITICAL  | FATAL: DB 프로세스 종료됨
2025-04-21 10:30:03 | CRITICAL  | 접속 종료됨: system
2025-04-21 10:30:04 | DEBUG     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:30:06 | DEBUG     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:30:07 | WARN      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:30:07 | DEBUG     | FATAL: DB 프로세스 종료됨
2025-04-21 10:30:09 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:30:09 | CRITICAL  | 인증 실패: system
2025-04-21 10:30:10 | CRITICAL  | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:30:11 | WARN      | DB 연결 실패
2025-04-21 10:30:13 | WARN      | DB 연결 실패
2025-04-21 10:30:14 | ERROR     | 인증 실패: admin
2025-04-21 10:30:15 | INFO      | 트랜잭션 롤백됨
2025-04-21 10:30:16 | INFO      | 접속 종료됨: admin
2025-04-21 10:30:18 | ERROR     | 트랜잭션 롤백됨
2025-04-21 10:30:19 | INFO      | 외부 API 호출 실패
2025-04-21 10:30:20 | DEBUG     | DB 연결 실패
2025-04-21 10:30:21 | CRITICAL  | 인증 실패: admin
2025-04-21 10:30:21 | WARN      | 트랜잭션 롤백됨
2025-04-21 10:30:23 | WARN      | FATAL: DB 프로세스 종료됨
2025-04-21 10:30:24 | ERROR     | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:30:26 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:30:27 | WARN      | 쿼리 수행 시간 초과
2025-04-21 10:30:28 | ERROR     | 접속 종료됨: user1
2025-04-21 10:30:29 | INFO      | 인증 실패: system
2025-04-21 10:30:30 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:30:30 | DEBUG     | FATAL: DB 프로세스 종료됨
2025-04-21 10:30:31 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:30:32 | INFO      | 디스크 용량 부족
2025-04-21 10:30:33 | INFO      | 접속 종료됨: system
2025-04-21 10:36:07 | INFO      | DB 연결 실패
2025-04-21 10:36:09 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:36:10 | ERROR     | FATAL: DB 프로세스 종료됨
2025-04-21 10:36:11 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:36:11 | INFO      | 디스크 용량 부족
2025-04-21 10:36:12 | INFO      | DB 연결 실패
2025-04-21 10:36:13 | DEBUG     | 디스크 용량 부족
2025-04-21 10:36:14 | DEBUG     | 디스크 용량 부족
2025-04-21 10:36:15 | CRITICAL  | DB 연결 실패
2025-04-21 10:36:15 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:36:16 | WARN      | 디스크 용량 부족
