2025-04-21 10:26:25 | CRITICAL  | 세션 초기화 완료
2025-04-21 10:27:38 | INFO      | 파일 접근 거부: /var/log/syslog
2025-04-21 10:27:39 | CRITICAL  | 사용자 로그인: user1
2025-04-21 10:27:39 | ERROR     | 예외 발생: NullPointerException
2025-04-21 10:27:41 | DEBUG     | 세션 초기화 완료
2025-04-21 10:27:42 | CRITICAL  | 파일 접근 거부: /tmp/test.db
2025-04-21 10:27:43 | DEBUG     | 설정 파일 로드됨
2025-04-21 10:27:44 | ERROR     | 세션 초기화 완료
2025-04-21 10:27:45 | DEBUG     | 사용자 로그인: guest
2025-04-21 10:27:47 | DEBUG     | 네트워크 지연 감지
2025-04-21 10:27:48 | WARN      | 세션 초기화 완료
2025-04-21 10:27:49 | CRITICAL  | 설정 파일 로드됨
2025-04-21 10:27:50 | INFO      | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:27:51 | CRITICAL  | 사용자 로그인: guest
2025-04-21 10:27:53 | INFO      | 세션 초기화 완료
2025-04-21 10:27:53 | INFO      | 캐시 초기화됨
2025-04-21 10:27:55 | CRITICAL  | 사용자 로그인: user1
2025-04-21 10:27:55 | INFO      | 시스템 시작됨
2025-04-21 10:27:55 | ERROR     | 사용자 로그인: system
2025-04-21 10:27:56 | INFO      | 네트워크 지연 감지
2025-04-21 10:27:58 | DEBUG     | 예외 발생: NullPointerException
2025-04-21 10:27:59 | CRITICAL  | 예외 발생: NullPointerException
2025-04-21 10:28:00 | INFO      | 캐시 초기화됨
2025-04-21 10:28:01 | DEBUG     | 예외 발생: IndexError
2025-04-21 10:28:02 | ERROR     | 세션 초기화 완료
2025-04-21 10:28:03 | CRITICAL  | 모듈 로드 실패: logger
2025-04-21 10:28:04 | WARN      | 예외 발생: IndexError
2025-04-21 10:28:04 | CRITICAL  | 네트워크 지연 감지
2025-04-21 10:28:05 | WARN      | 세션 초기화 완료
2025-04-21 10:28:06 | CRITICAL  | 설정 파일 로드됨
2025-04-21 10:28:07 | CRITICAL  | 파일 접근 거부: /etc/passwd
2025-04-21 10:28:09 | DEBUG     | 네트워크 지연 감지
2025-04-21 10:28:11 | CRITICAL  | 파일 접근 거부: /var/log/syslog
2025-04-21 10:28:12 | CRITICAL  | 사용자 로그인: user1
2025-04-21 10:28:12 | WARN      | 시스템 시작됨
2025-04-21 10:28:14 | DEBUG     | 모듈 로드 실패: logger
2025-04-21 10:28:16 | INFO      | 시스템 시작됨
2025-04-21 10:28:17 | DEBUG     | 네트워크 지연 감지
2025-04-21 10:28:17 | CRITICAL  | 예외 발생: ConnectionRefusedError
2025-04-21 10:28:21 | WARN      | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:28:22 | DEBUG     | 사용자 로그인: guest
2025-04-21 10:28:24 | ERROR     | 캐시 초기화됨
2025-04-21 10:28:26 | INFO      | 캐시 초기화됨
2025-04-21 10:28:27 | CRITICAL  | 파일 접근 거부: /tmp/test.db
2025-04-21 10:28:29 | CRITICAL  | 시스템 시작됨
2025-04-21 10:28:30 | DEBUG     | 모듈 로드 실패: network
2025-04-21 10:28:32 | INFO      | 네트워크 지연 감지
2025-04-21 10:28:33 | DEBUG     | 파일 접근 거부: /tmp/test.db
2025-04-21 10:28:33 | CRITICAL  | 설정 파일 로드됨
2025-04-21 10:28:35 | DEBUG     | 설정 파일 로드됨
2025-04-21 10:28:36 | WARN      | 사용자 로그인: user1
2025-04-21 10:28:37 | WARN      | 사용자 로그인: admin
2025-04-21 10:28:38 | INFO      | 예외 발생: ConnectionRefusedError
2025-04-21 10:28:39 | INFO      | 모듈 로드 실패: logger
2025-04-21 10:28:40 | CRITICAL  | 시스템 시작됨
2025-04-21 10:28:42 | DEBUG     | 사용자 로그인: user1
2025-04-21 10:28:42 | DEBUG     | 파일 접근 거부: /var/log/syslog
2025-04-21 10:28:43 | DEBUG     | 설정 파일 로드됨
2025-04-21 10:28:45 | CRITICAL  | 캐시 초기화됨
2025-04-21 10:28:46 | ERROR     | 네트워크 지연 감지
2025-04-21 10:28:47 | WARN      | 모듈 로드 실패: logger
2025-04-21 10:28:49 | CRITICAL  | 파일 접근 거부: /var/log/syslog
2025-04-21 10:28:51 | ERROR     | 시스템 시작됨
2025-04-21 10:28:52 | ERROR     | 캐시 초기화됨
2025-04-21 10:28:53 | DEBUG     | 시스템 시작됨
2025-04-21 10:28:54 | DEBUG     | 모듈 로드 실패: storage
2025-04-21 10:28:55 | ERROR     | 캐시 초기화됨
2025-04-21 10:28:57 | DEBUG     | 세션 초기화 완료
2025-04-21 10:28:58 | ERROR     | 캐시 초기화됨
2025-04-21 10:28:59 | INFO      | 설정 파일 로드됨
2025-04-21 10:29:00 | DEBUG     | 세션 초기화 완료
2025-04-21 10:29:01 | DEBUG     | 세션 초기화 완료
2025-04-21 10:29:02 | ERROR     | 모듈 로드 실패: logger
2025-04-21 10:29:03 | CRITICAL  | 예외 발생: IndexError
2025-04-21 10:29:04 | DEBUG     | 파일 접근 거부: /tmp/test.db
2025-04-21 10:29:06 | CRITICAL  | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:08 | ERROR     | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:09 | WARN      | 세션 초기화 완료
2025-04-21 10:29:10 | WARN      | 예외 발생: TimeoutError
2025-04-21 10:29:11 | CRITICAL  | 설정 파일 로드됨
2025-04-21 10:29:12 | DEBUG     | 세션 초기화 완료
2025-04-21 10:29:13 | DEBUG     | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:14 | INFO      | 모듈 로드 실패: storage
2025-04-21 10:29:15 | CRITICAL  | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:17 | CRITICAL  | 캐시 초기화됨
2025-04-21 10:29:18 | WARN      | 설정 파일 로드됨
2025-04-21 10:29:19 | INFO      | 캐시 초기화됨
2025-04-21 10:29:20 | DEBUG     | 캐시 초기화됨
2025-04-21 10:29:22 | DEBUG     | 세션 초기화 완료
2025-04-21 10:29:22 | DEBUG     | 세션 초기화 완료
2025-04-21 10:29:22 | WARN      | 캐시 초기화됨
2025-04-21 10:29:23 | WARN      | 모듈 로드 실패: logger
2025-04-21 10:29:23 | INFO      | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:25 | INFO      | 사용자 로그인: user1
2025-04-21 10:29:26 | ERROR     | 예외 발생: TimeoutError
2025-04-21 10:29:28 | CRITICAL  | 파일 접근 거부: /tmp/test.db
2025-04-21 10:29:29 | DEBUG     | 설정 파일 로드됨
2025-04-21 10:29:29 | ERROR     | 모듈 로드 실패: logger
2025-04-21 10:29:30 | INFO      | 사용자 로그인: system
2025-04-21 10:29:32 | WARN      | 캐시 초기화됨
2025-04-21 10:29:33 | WARN      | 세션 초기화 완료
2025-04-21 10:29:35 | CRITICAL  | 세션 초기화 완료
2025-04-21 10:29:36 | ERROR     | 예외 발생: ConnectionRefusedError
2025-04-21 10:29:38 | CRITICAL  | 세션 초기화 완료
2025-04-21 10:29:39 | WARN      | 파일 접근 거부: /var/log/syslog
2025-04-21 10:29:41 | DEBUG     | 시스템 시작됨
2025-04-21 10:29:41 | WARN      | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:42 | ERROR     | 모듈 로드 실패: network
2025-04-21 10:29:44 | INFO      | 캐시 초기화됨
2025-04-21 10:29:45 | DEBUG     | 모듈 로드 실패: network
2025-04-21 10:29:46 | WARN      | 모듈 로드 실패: network
2025-04-21 10:29:47 | INFO      | 사용자 로그인: system
2025-04-21 10:29:49 | INFO      | 사용자 로그인: guest
2025-04-21 10:29:50 | DEBUG     | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:29:51 | ERROR     | 세션 초기화 완료
2025-04-21 10:29:52 | ERROR     | 파일 접근 거부: /tmp/test.db
2025-04-21 10:29:53 | DEBUG     | 시스템 시작됨
2025-04-21 10:29:55 | DEBUG     | 예외 발생: IndexError
2025-04-21 10:29:56 | DEBUG     | 시스템 시작됨
2025-04-21 10:29:57 | INFO      | 예외 발생: IndexError
2025-04-21 10:29:58 | ERROR     | 캐시 초기화됨
2025-04-21 10:30:00 | WARN      | 파일 접근 거부: /data/app/config.yml
2025-04-21 10:30:01 | DEBUG     | 모듈 로드 실패: network
2025-04-21 10:30:02 | CRITICAL  | 설정 파일 로드됨
2025-04-21 10:30:04 | INFO      | 사용자 로그인: system
2025-04-21 10:30:04 | DEBUG     | 캐시 초기화됨
2025-04-21 10:30:06 | INFO      | 사용자 로그인: system
2025-04-21 10:30:08 | WARN      | 네트워크 지연 감지
2025-04-21 10:30:09 | CRITICAL  | 설정 파일 로드됨
2025-04-21 10:30:09 | WARN      | 예외 발생: TimeoutError
2025-04-21 10:30:11 | WARN      | 사용자 로그인: admin
2025-04-21 10:30:13 | DEBUG     | 세션 초기화 완료
2025-04-21 10:30:15 | ERROR     | 캐시 초기화됨
2025-04-21 10:30:16 | DEBUG     | 예외 발생: IndexError
2025-04-21 10:30:18 | DEBUG     | 사용자 로그인: guest
2025-04-21 10:30:19 | WARN      | 네트워크 지연 감지
2025-04-21 10:30:20 | CRITICAL  | 캐시 초기화됨
2025-04-21 10:30:22 | WARN      | 사용자 로그인: root
2025-04-21 10:30:24 | DEBUG     | 네트워크 지연 감지
2025-04-21 10:30:25 | CRITICAL  | 사용자 로그인: system
2025-04-21 10:30:26 | CRITICAL  | 시스템 시작됨
2025-04-21 10:30:28 | CRITICAL  | 세션 초기화 완료
2025-04-21 10:30:29 | CRITICAL  | 사용자 로그인: root
2025-04-21 10:30:31 | WARN      | 모듈 로드 실패: logger
2025-04-21 10:30:32 | DEBUG     | 모듈 로드 실패: scheduler
2025-04-21 10:30:33 | ERROR     | 모듈 로드 실패: scheduler
